label,value
AAPL,5.94
MSFT,5.93
AMZN,3.8
JPM,2.17
GOOG,2.04
GOOGL,2.03
V,1.64
PG,1.6
XOM,1.54
T,1.51
BAC,1.45
DIS,1.41
INTC,1.35
HD,1.35
MA,1.31
VZ,1.3
UNH,1.27
CVX,1.22
MRK,1.15
CSCO,1.09
CMCSA,1.08
KO,1.07
PFE,1.07
PEP,0.99
WMT,0.9
WMT,0.9
C,0.88
ABT,0.79
MCD,0.79
MDT,0.77
CRM,0.75
ADBE,0.75
AMGN,0.69
ABBV,0.67
NVDA,0.67
UNP,0.66
ACN,0.65
UTX,0.63
NKE,0.6
NEE,0.6
LIN,0.59
TXN,0.58
QCOM,0.58
SBUX,0.53
GE,0.52
BMY,0.51
CVS,0.5
DHR,0.46
LOW,0.46
UPS,0.45
USB,0.44
CAT,0.43
CHTR,0.43
AXP,0.43
GILD,0.42
CELG,0.41
MDLZ,0.4
ADP,0.39
CME,0.38
CI,0.38
ANTM,0.38
GS,0.38
TJX,0.37
PNC,0.36
CB,0.36
INTU,0.35
BDX,0.35
D,0.35
DUK,0.34
COP,0.34
SPGI,0.33
MS,0.32
AGN,0.31
PLD,0.3
CL,0.3
CSX,0.3
BSX,0.3
BLK,0.29
DE,0.29
TGT,0.29
PSX,0.28
VRTX,0.28
MMC,0.28
CCI,0.28
ICE,0.28
AMAT,0.28
APD,0.28
BIIB,0.27
EW,0.27
ITW,0.27
SCHW,0.27
MU,0.27
NSC,0.27
SLB,0.26
ECL,0.26
GM,0.25
AIG,0.25
WBA,0.25
SPG,0.25
AON,0.25
HUM,0.24
KMB,0.24
LHX,0.24
AEP,0.24
COF,0.24
EQIX,0.24
EMR,0.24
EXC,0.23
BAX,0.22
BK,0.22
ILMN,0.22
SRE,0.22
SYY,0.22
VLO,0.22
ROST,0.22
WM,0.22
KMI,0.21
MET,0.21
ATVI,0.21
AFL,0.21
FDX,0.2
MCO,0.2
LRCX,0.2
ETN,0.2
PRU,0.19
ALL,0.19
ADSK,0.19
F,0.18
ROP,0.18
TRV,0.18
OXY,0.18
WELL,0.18
JCI,0.18
TEL,0.17
XEL,0.17
GIS,0.17
STZ,0.17
DAL,0.17
EQR,0.16
AVB,0.16
NEM,0.16
PEG,0.16
IR,0.16
YUM,0.15
TROW,0.15
LUV,0.15
INFO,0.15
VFC,0.15
HLT,0.15
EA,0.15
HPQ,0.15
ED,0.15
CMI,0.15
DFS,0.14
EBAY,0.14
ES,0.14
DLTR,0.14
KLAC,0.14
MSI,0.14
MCK,0.14
TSN,0.14
STT,0.14
PCAR,0.14
WEC,0.14
XLNX,0.13
LYB,0.13
SWK,0.13
EIX,0.13
DLR,0.13
ALXN,0.13
A,0.13
ADM,0.12
GLW,0.12
ESS,0.12
ETR,0.12
HPE,0.12
TWTR,0.12
ROK,0.12
SYF,0.12
MCHP,0.12
NTRS,0.12
IDXX,0.12
HSY,0.12
HIG,0.11
KR,0.11
MKC,0.11
MTD,0.11
KHC,0.11
MSCI,0.11
WY,0.11
FAST,0.11
CTAS,0.11
AME,0.11
BXP,0.11
CERN,0.11
AMP,0.11
BLL,0.11
VTR,0.11
CBRE,0.1
ANSS,0.1
CCL,0.1
CLX,0.1
RSG,0.1
KEY,0.1
KEYS,0.1
HAL,0.1
PEAK,0.09
K,0.09
HES,0.09
LH,0.09
OMC,0.09
VMC,0.09
EFX,0.09
FCX,0.09
CMS,0.09
KMX,0.09
CAH,0.09
ARE,0.09
BBY,0.09
CTXS,0.08
INCY,0.08
CAG,0.08
DRI,0.08
CTL,0.08
DOV,0.08
WAB,0.08
NLOK,0.08
MAA,0.08
IFF,0.08
LNC,0.07
UDR,0.07
TIF,0.07
URI,0.07
PFG,0.07
DGX,0.07
TTWO,0.07
GWW,0.07
EXPD,0.07
CBOE,0.07
CBS,0.07
BKR,0.07
AKAM,0.07
XYL,0.07
STX,0.07
GRMN,0.07
LNT,0.06
AES,0.06
ARNC,0.06
BF/B,0.06
FMC,0.06
HST,0.06
HRL,0.06
HAS,0.06
CMA,0.06
DRE,0.06
SJM,0.06
REG,0.06
RJF,0.06
TSCO,0.06
WHR,0.06
VNO,0.06
NDAQ,0.06
NRG,0.05
IRM,0.05
NI,0.05
TAP,0.05
JNPR,0.05
KSS,0.05
WRK,0.05
NBL,0.05
PNW,0.05
HSIC,0.05
SNA,0.05
DISCK,0.05
FRT,0.05
DXC,0.05
GL,0.05
EMN,0.05
ETFC,0.05
CF,0.05
CPB,0.05
BWA,0.05
AIV,0.04
ALK,0.04
BEN,0.04
DVA,0.04
VIAB,0.04
SLG,0.04
TPR,0.04
HFC,0.04
LEG,0.04
IPG,0.04
KIM,0.04
PVH,0.04
MOS,0.04
PNR,0.04
FTI,0.04
XRX,0.04
NLSN,0.04
IVZ,0.04
NWSA,0.03
HBI,0.03
RHI,0.03
UNM,0.03
PWR,0.03
RL,0.03
FLS,0.03
HRB,0.03
ADS,0.02
GPS,0.02
DISCA,0.02
JWN,0.02
TRIP,0.02
LB,0.02
NWS,0.01
MAC,0.01
